"filename", "language", "C", "C++", "Makefile", "Markdown", "Shell Script", "reStructuredText", "comment", "blank", "total"
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/fish/ece391emulate.c", "C", 191, 0, 0, 0, 0, 0, 11, 26, 228
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/fish/ece391support.c", "C", 44, 0, 0, 0, 0, 0, 0, 10, 54
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/fish/ece391support.h", "C++", 0, 8, 0, 0, 0, 0, 0, 3, 11
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/fish/ece391syscall.h", "C++", 0, 12, 0, 0, 0, 0, 7, 6, 25
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/fish/ece391sysnum.h", "C++", 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/fish/fish.c", "C", 156, 0, 0, 0, 0, 0, 1, 40, 197
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/include/errno.h", "C++", 0, 45, 0, 0, 0, 0, 1, 5, 51
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/include/math.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/include/stdio.h", "C++", 0, 3, 0, 0, 0, 0, 0, 3, 6
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/include/stdlib.h", "C++", 0, 3, 0, 0, 0, 0, 0, 3, 6
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/include/string.h", "C++", 0, 19, 0, 0, 0, 0, 0, 6, 25
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/include/type.h", "C++", 0, 9, 0, 0, 0, 0, 0, 4, 13
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/include/unistd.h", "C++", 0, 3, 0, 0, 0, 0, 0, 3, 6
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/lib/errno.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/lib/math.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/lib/stdio.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/lib/stdlib.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/lib/string.c", "C", 186, 0, 0, 0, 0, 0, 152, 49, 387
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/lib/unistd.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/Makefile", "Makefile", 0, 0, 24, 0, 0, 0, 7, 12, 43
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/debug.sh", "Shell Script", 0, 0, 0, 0, 18, 0, 1, 4, 23
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/drivers/fs.c", "C", 130, 0, 0, 0, 0, 0, 77, 47, 254
