"filename", "language", "Shell Script", "Makefile", "C", "C++", "comment", "blank", "total"
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/vfs.c", "C", 0, 0, 169, 0, 137, 80, 386
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/vm.c", "C", 0, 0, 216, 0, 54, 67, 337
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/lib/io.c", "C", 0, 0, 162, 0, 53, 31, 246
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/lib/lib.c", "C", 0, 0, 208, 0, 102, 23, 333
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/tests/tests.c", "C", 0, 0, 370, 0, 166, 73, 609
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/usr/app/app.c", "C", 0, 0, 58, 0, 2, 17, 77
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/usr/app/app.h", "C++", 0, 0, 0, 1, 0, 1, 2
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/usr/stdlib/alloc.c", "C", 0, 0, 115, 0, 115, 52, 282
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/usr/stdlib/alloc.h", "C++", 0, 0, 0, 41, 33, 23, 97
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/usr/stdlib/stdlib.h", "C++", 0, 0, 0, 4, 2, 4, 10
"Total", "-", 18, 24, 3215, 1118, 2189, 1490, 8054
